"","comuna","2011","2012","2013","2014","2015","2016","2017","2018","2019","class","prob1","prob2"
"1","Aisén",0.062874251497006,0.2217125382263,0.537688442211055,0.196988707653701,0.165236051502146,0.680805938494168,0.377690802348337,0.243452958292919,0.440174672489083,"1",0.93,0.07
"2","Algarrobo",NA,0.103734439834025,0.243190661478599,0.332743362831858,0.213008130081301,0.200617283950617,0.147192716236722,0.155862068965517,0.12577065351418,"1",0.998,0.002
"3","Alhué",NA,NA,NA,NA,NA,NA,NA,NA,0.0810234541577825,"1",0.987,0.013
"4","Alto Hospicio",0.129770992366412,0.342474489795918,0.257685858021241,0.252028397565923,0.278301886792453,0.184037558685446,0.154136917261655,0.122694768535943,0.142686329214827,"1",0.998,0.002
"5","Ancud",0.127425614489004,0.157703927492447,0.0865603644646925,0.0933977455716586,0.107738998482549,0.205335874225822,0.0803362914525922,0.288215200683177,0.2944,"1",0.999,0.001
"6","Andacollo",NA,NA,NA,0.692695214105793,0.688725490196078,0.881057268722467,0.881632653061225,0.791187739463602,0.588752196836555,"2",0.003,0.997
"7","Angol",0.19553706505295,0.520752039730401,0.512021672875042,0.230504227998747,0.514088729016787,0.391988950276243,0.497793926810278,0.35919395465995,0.406296114117068,"1",0.776,0.224
"8","Antofagasta",0.0286880598707336,0.0509342977697408,0.0993862388284699,0.0779017079121645,0.102316437302334,0.109762181939132,0.187526588956011,0.270751953125,0.234514939414465,"1",0.999,0.001
"9","Arauco",NA,0.286404416839199,0.269426751592357,0.480542452830189,0.311449579831933,0.246347607052897,0.41123701605288,0.394181135617081,0.488606485539001,"1",0.896,0.104
"10","Arica",0.306774193548387,0.475600766622438,0.262157022548221,0.273485902136806,0.301931791080372,0.249468144664651,0.293877551020408,0.242488834754365,0.251907668828691,"1",0.986,0.014
"11","Buin",0.298507462686567,0.533128415300546,0.176838810641628,0.294367393150297,0.345544554455446,0.142857142857143,0.334404406701859,0.291539467945922,0.394418992086631,"1",0.973,0.027
"12","Bulnes",0.286012526096033,0.490142760027192,0.421854304635762,0.46615087040619,0.436430317848411,0.263661971830986,0.474706182933061,0.441632231404959,0.559716599190283,"1",0.637,0.363
"13","Cabildo",0.118446601941748,0.235955056179775,0.119718309859155,NA,NA,NA,0.215270413573701,0.216515609264854,0.284436493738819,"1",0.995,0.005
"14","Cabrero",0.150943396226415,0.301196808510638,0.454488778054863,0.62035010940919,0.497262319561971,0.402229447282861,0.598582188746123,0.763352506162695,0.620409741012756,"2",0.14,0.86
"15","Calama",0.190158465387823,0.197040498442368,0.190441708906589,0.128153380423814,0.135791366906475,0.117547329754168,0.114588591620394,0.206648070664807,0.21753097751262,"1",0.999,0.001
"16","Calbuco",0.332329317269076,0.512465373961219,0.192341941228851,0.847715736040609,0.814117647058824,0.816777041942605,0.818,0.740307692307692,0.713360800470865,"2",0.005,0.995
"17","Caldera",0.175166297117517,0.211072664359862,0.349579831932773,0.0312965722801788,0.368421052631579,0.259259259259259,0.467191601049869,0.128140703517588,0.448520710059172,"1",0.982,0.018
"18","Calera",0.0861035422343324,NA,NA,0.299765807962529,0.327475353621946,0.138061267310113,0.561304836895388,0.541509433962264,0.199147121535181,"1",0.963,0.037
"19","Calera de Tango",0.0461095100864553,0.147327249022164,0.025062656641604,0.672665916760405,0.476239669421488,0.465534465534466,0.357078449053201,0.364444444444444,0.305120167189133,"1",0.931,0.069
"20","Calle Larga",0.75990099009901,0.841409691629956,0.859126984126984,0.65,NA,NA,0.0684563758389262,0.0835443037974684,0.422485207100592,"1",0.686,0.314
"21","Canela",NA,NA,NA,NA,0.474940334128878,0.0967741935483871,0.684549356223176,0.523605150214592,0.454175152749491,"1",0.705,0.295
"22","Cañete",0.309066843150232,0.527596439169139,0.396463205932687,0.554683411826269,0.615422639644093,0.473222530009234,0.599389712292938,0.386672325976231,0.448653198653199,"2",0.377,0.623
"23","Carahue",0.203302373581011,0.601921024546425,0.380295566502463,0.373307543520309,0.544270833333333,0.26320272572402,0.101438304314913,0.261237785016287,0.283405842137974,"1",0.971,0.029
"24","Cartagena",0.00330396475770925,0.501525940996948,0.428979980934223,0.00659521846661171,0.109062980030722,0.187417218543046,0.309309309309309,0.350276243093923,0.273809523809524,"1",0.993,0.007
"25","Casablanca",0.556442417331813,0.920965971459934,0.526173285198556,0.596137699412259,0.506289308176101,0.484011627906977,0.068073519400953,0.66688874083944,0.9525,"2",0.061,0.939
"26","Castro",0.200645161290323,0.220997679814385,0.177375068643602,0.00805152979066022,0.095166163141994,0.167673014398514,0.18232044198895,0.394250513347023,0.314405487804878,"1",0.997,0.003
"27","Catemu",0.422131147540984,0.469858156028369,0.195161290322581,0.361426256077796,NA,0.487316421895861,0.504447268106734,0.250309789343247,0.480192076830732,"1",0.81,0.19
"28","Cauquenes",0.350208457415128,0.463015245623941,0.534351145038168,0.714221218961625,0.606210621062106,0.579313342025206,0.664104882459313,0.401499375260308,0.151848937844217,"2",0.398,0.602
"29","Cerrillos",0.0248946763692072,0.0882467786021086,0.104864864864865,0.0970662803332126,0.10126582278481,0.0573951434878587,0.103637791154148,0.0152,0.0141164608016133,"1",1,0
"30","Cerro Navia",0.0364372469635627,0.0181159420289855,0.0759644930010242,0.0532525510204082,0.0947336561743341,0.152383737935069,0.149251562272925,0.143452541005647,0.238437958150073,"1",1,0
"31","Chañaral",NA,NA,0.16,0.161888701517707,0.253488372093023,0.25511811023622,0.272863568215892,0.240131578947368,0.216296296296296,"1",0.996,0.004
"32","Chanco",0.176178660049628,0.672248803827751,0.569160997732426,0.718468468468468,0.810606060606061,0.640831758034026,0.640322580645161,0.586370839936609,0.625,"2",0.021,0.979
"33","Chépica",NA,NA,NA,0.584938704028021,0.511078286558346,0.402453987730061,0.408,0.367283950617284,0.386961093585699,"1",0.692,0.308
"34","Chiguayante",0.331481481481481,0.476432401919277,0.395530726256983,0.326302414231258,0.272051773729626,0.354310742277547,0.191743119266055,0.147494707127735,0.179767753461367,"1",0.99,0.01
"35","Chillán",0.371650131143802,0.43824531516184,0.494560838033844,0.474850809889173,0.329470348574015,0.499738812467352,0.635078969243558,0.513410260408545,0.42745070322991,"2",0.429,0.571
"36","Chillán Viejo",0.316729323308271,0.45777027027027,0.297855440826052,0.541666666666667,0.387820512820513,0.529556650246305,0.435160065111232,0.791067761806982,0.730337078651685,"2",0.134,0.866
"37","Chimbarongo",0.0291627469426152,NA,NA,NA,NA,0.263709180529883,0.462703962703963,0.285166940339354,0.0635571501793952,"1",0.994,0.006
"38","Cholchol",NA,NA,0.586901763224181,NA,NA,0.0785854616895874,0.229445506692161,0.278846153846154,NA,"1",0.977,0.023
"39","Chonchi",0.268131868131868,0.0073394495412844,0.516835016835017,0.159754224270353,0.267229254571027,0.220293724966622,0.360675512665863,0.315230224321133,0.137154554759468,"1",0.993,0.007
"40","Codegua",0.304147465437788,0.316455696202532,NA,0.426415094339623,0.205555555555556,0.404109589041096,0.3968,0.193265007320644,0.380818053596615,"1",0.958,0.042
"41","Coelemu",0.541720154043646,0.39440203562341,0.35028901734104,0.344108446298227,0.566448801742919,0.834230355220667,0.77720207253886,0.68046198267565,0.681060606060606,"2",0.028,0.972
